Name,Net cash flow / Change in cash,Average Payables,Average Receivables,Current Ratio,SG&A to Revenue,Days Payable Outstanding,Days Inventory Outstanding,EBIT per Revenue,Debt to Assets,Debt to Equity,Payout Ratio,Return on Equity,R&D to Revenue,Price-to-Earnings Ratio,Dividend Yield,cluster
Comcast Corporation,0.1189230079902994,0.4739437088046694,1.6386767957946369,-0.3568532264738951,-0.044034456933462585,-0.06682137946150891,-0.026435474851065902,0.05057525572570727,0.3376755480674202,0.05579613857072052,0.010642457723687026,-0.015926048419831394,-0.04934991653516031,-0.10854368257690952,0.033407174224039424,0
"Kinder Morgan, Inc.",0.942280391302616,0.012576462949687886,0.09405814444479048,-0.3632414963934176,-0.06016975914359597,-0.06637659570683839,-0.027190536468824484,0.05144539411995516,0.3966210463151633,0.022762138741192976,0.15221200845092334,-0.015926700218500154,-0.04934991653516031,-0.016143173151876352,0.213108531104485,1
Intel Corporation,-0.11323475438347712,0.16032275189735387,0.9469981636076678,-0.18546507063299186,-0.05884563114127232,-0.0702550052384333,-0.02790963001500696,0.05178572511641967,-0.1411308882111756,-0.03238951591779262,-0.007532011626431139,-0.015925382011882122,-0.04683688849270674,-0.13655058350109353,0.021842235414901844,0
"Micron Technology, Inc.",0.4378312108255536,0.2069489427161756,0.6659270201299297,0.007278158938886578,-0.060563486598832365,-0.06165240268086879,-0.02234465140947517,0.053225211278763784,-0.34049945054398584,-0.04772646916755557,-0.05784659519570565,-0.015924509388319547,-0.04842461750697656,-0.1916941639993747,-0.20589809805734602,2
General Electric Company,-2.8182431505524,0.9825172536068562,6.21971828206909,-0.1877998163916855,-0.057501440593458915,-0.06420531732012093,-0.01828938528194004,0.04745696977310406,0.11436666392068018,0.18612005384598115,-0.08482133391535472,-0.01593102344173934,-0.04934991653516031,-0.231416720084706,0.24602412617664576,3
Microsoft Corporation,1.336825099166561,0.4958790474091695,4.272491579469923,0.0280856666767598,-0.0561848360456939,-0.06794954496024792,-0.01845306322434069,0.05181520943372188,0.08016620418649474,0.014045137680227176,0.0888883310310379,-0.01592584332800889,-0.04759658002436895,0.1983017235144693,-0.05911233624906125,3
Sirius XM Holdings Inc.,0.010252182210221162,-0.028997674949316224,-0.13058723975820444,-0.4701993870459941,-0.05553781895364938,-0.0632192468023291,-0.03146241468183452,0.05159478765196016,1.1399780975964284,-0.3352121412075381,-0.02474992995812204,-0.015930605391558682,-0.04906864666011582,-0.028535975074821505,-0.1356188545248945,4
HP Inc.,-0.5506916018351279,0.934150738402884,0.6922888026682686,-0.34608442860955724,-0.05915158495999104,-0.05118362112035021,-0.028394323889175413,0.049384296103782484,-0.20772119510538364,-0.7428141422007619,-0.02551517077286386,-0.015973811214866532,-0.04903447368464312,-0.16383876657987673,-0.00039803152574737654,0
"CEMEX, S.A.B. de C.V.",-0.12220654806618185,0.09330245989228624,0.1547535936069991,-0.4944565605404095,-0.05573844440854691,-0.058197972291207524,-0.025760153769348683,0.04966314289182483,0.2006725299557716,0.022236049825526967,-0.05784659519570565,-0.015926656952554036,-0.04934991653516031,0.16543932002546985,-0.20589809805734602,1
"Caesars Entertainment, Inc.",-0.31019838788676096,-0.058486782777287666,-0.0857473930063628,-0.2946132252579761,-0.05498108331630875,-0.07086937016896408,-0.03049756312524555,0.050433015257280105,0.9307517556931766,0.3698931415948081,-0.05784659519570565,-0.01592644511798669,-0.04934991653516031,-0.0888574649863049,-0.20589809805734602,1
