Name,Net cash flow / Change in cash,Average Payables,Average Receivables,currentRatio,SG&A to Revenue,daysOfPayablesOutstanding,daysOfInventoryOutstanding,eBITperRevenue,Intangibles to Total Assets,Debt to Assets,Debt to Equity,Payout Ratio,ROE,R&D to Revenue,PE ratio,returnOnAssets,Dividend Yield,cluster
Comcast Corporation,0.4346563393961381,2.43276296463215,0.8584684655960703,-0.7218176873696971,0.04968063680387555,-0.05103391025135831,-0.04737144411444854,0.09581847036402404,1.825931281361764,0.2890718991844809,-0.008117754657400004,0.04296287492620555,-0.042588609653975734,-0.06336238125970449,-0.13745526585849133,-0.015649005252818364,0.10651860921139936,7
Sirius XM Holdings Inc.,-0.06575383239684514,0.02166079587470913,-0.11158009294054352,-1.1516269977531812,-0.07721905155998232,-0.04767057420220795,-0.04913028271038737,0.11446368904670012,1.4776772955409108,1.4257424975660524,-0.18127852177704293,-0.06462700025021309,-0.3693013666961466,-0.052236338985894235,-0.00783542855615317,-0.275539611032171,-0.2399155978021944,3
"Caesars Entertainment, Inc.",-1.5413727363877927,-0.11971005594909548,-0.08699539114783726,-0.4858032351301348,-0.0710774054259565,-0.05481354702800873,-0.04879269797410441,0.09321717405239403,0.10822741144838004,1.1293188711074682,0.13098231254444048,-0.16523807271248564,-0.07102994214124732,-0.06336238125970449,-0.10556178458200298,-0.057895696736992,-0.38395929440258336,3
Ford Motor Company,-2.5066416158534683,7.542923455274888,11.830484319201105,-0.4394308940742678,-0.12040423000689365,-0.04707447833798964,-0.03282645084987936,0.06810071803660744,-1.0805493521807,0.7368425887675925,0.08026662284163626,0.2098725731728658,-0.06736399135322789,-0.06336238125970449,-0.21340994322976228,-0.05078780589718899,1.0455376440114033,8
"NIKE, Inc.",0.581081515515379,0.5077620315073769,0.2223611802179737,0.4644836942684541,-0.052569471805851656,-0.05346834961375961,-0.04785922550245537,0.08269262945098052,-0.9954496939913936,-0.4944555519065272,-0.04604531153907988,0.2063831718157928,-0.029213932053729026,-0.06336238125970449,0.5664956773062257,-0.039480472243890674,-0.19068547364763108,18
Alibaba Group Holding Limited,12.62399162760794,-0.24433539852701536,-0.13524046301542306,-1.0628966377029996,-0.09193687022350368,-0.059059760624954966,-0.050051158083818034,0.1206353169881784,0.0733147311655879,-0.4773541888416089,-0.0475046860082922,-0.16523807271248564,-0.03799609987557777,-0.01610269702188433,0.333960619614566,-0.04921486971969605,-0.38395929440258336,14
General Motors Company,7.983371729621083,7.790435990603981,5.2661641481928525,-0.6359942501916743,-0.1219258090040622,-0.04551949138810859,-0.0409806225105187,0.07279017719313295,-0.9736292688146484,0.3392358975082414,0.028780797609624605,-0.007633444751353469,-0.025507696092214885,-0.06336238125970449,-0.2472819877276264,-0.04488187572131926,0.4438361265667407,15
"Lowe's Companies, Inc.",-0.0031975853099414802,2.0571487870716414,-0.13524046301542306,-0.5390968211197134,-0.08183911869683959,-0.05048378459558926,-0.050051158083818034,0.07739612621511761,-0.9190782058727852,0.3962404410579691,0.03502925015962238,0.05924674792587972,0.12785795940218025,-0.06336238125970449,0.034895251121229216,-0.035577809841243084,-0.09951857706510643,7
Fox Corporation,3.4811529648673347,0.41633535062036736,0.04049520165927478,0.9254386068536404,-0.10712499512251347,-0.04358891389000347,-0.04593358782921418,0.09863839704131984,0.7864062259416219,-0.9764289676194756,-0.058610169774005474,-0.16523807271248564,-0.016725528270366143,-0.06336238125970449,-0.17495068521184012,0.004383672479403063,-0.38395929440258336,1
"Mattel, Inc.",-0.7349538489567188,-0.0513779979951203,-0.030838974773122092,0.01944764503080475,-0.015498274420290387,-0.04841938216921513,-0.04515063693444146,0.053325188501735066,0.07462395667619247,0.5775148895461035,0.08209164989404369,-0.16523807271248564,-0.4356913326154435,-0.06336238125970449,-0.33652087625845195,-0.1060186403559506,-0.38395929440258336,18
"The Michaels Companies, Inc.",0.1348159620025271,-0.07047348580677003,-0.13277727299286124,-0.05807029822676413,-0.06833856323105311,-0.05101583043015342,-0.049939683762282326,0.08554366976788866,-0.8134673480173382,2.402230328572889,-0.1170595734045646,-0.16523807271248564,-0.21279346766916335,-0.06336238125970449,-0.15564697233036914,-0.009787592138575805,-0.38395929440258336,3
The Walt Disney Company,0.08352023744028858,2.9423884938350247,0.7602339236012235,-0.6179990133640245,-0.09882547331977587,-0.04481777903114123,-0.04646932067145111,0.10471551358788203,0.6048602884711015,-0.3730358741456071,-0.044760673702544856,-0.048924694143384406,-0.0045191207014663075,-0.06336238125970449,-0.1294137982424157,0.004932716239471351,-0.11957529431326183,7
MGM Resorts International,-0.007793629915703673,-0.010692255925487677,-0.07545848929779915,-0.6768295953005722,-0.08870005672043603,-0.054395827315894485,-0.048776914109967685,0.08082689426894146,-0.2474455189325671,0.4643608705998937,0.017270830897899058,0.17497855960213546,-0.07969125444261191,-0.06336238125970449,0.10626720490410936,-0.057242779833127,-0.02293838393578565,11
At Home Group Inc.,-0.044493749786522346,-0.2203397187237942,-0.13524046301542306,-0.6636792299265204,-0.07865763533912352,-0.05157904499572575,-0.050051158083818034,0.07785442533774921,0.7331643885103636,0.00889456763756896,-0.032593826686495346,-0.16523807271248564,-0.0869023004981666,-0.06336238125970449,0.5721963938797661,-0.04951165013054377,-0.38395929440258336,0
Carnival Corporation & plc,0.788635648655274,0.014996555623969909,-0.10184769633021387,-1.1024861587238295,-0.10416483234620373,-0.055607199801874604,-0.04961871394869912,0.09287230579848853,-0.6585423292624469,-0.28239864990154,-0.04494511792592645,0.08948822635384604,-0.05660785003013793,-0.06336238125970449,-0.13375107223299587,-0.044154763714742334,0.20497885752052605,18
"Discovery, Inc.",-9.034645584198657,-0.13969877895671165,0.08694603531690903,-0.5370204476395998,-0.07138172122539023,-0.05630964611640104,-0.04438878742889665,0.08905769218860822,2.413773535623281,0.4940032332457523,0.006187998177162464,-0.16523807271248564,-0.08005382100406437,-0.06336238125970449,0.09402465789136064,0.024594418458133118,-0.38395929440258336,19
eBay Inc.,0.06646099362057119,-0.13726536919926272,-0.06506581302620736,-0.16258109672580764,-0.023659470859649017,-0.05668313265295579,-0.04854001243102244,0.1053138683106402,-0.07593697704334962,0.17648792567376864,-0.011052682913665138,-0.16523807271248564,0.05369295499840261,-0.0011813225705593724,-0.17368901441333806,0.027280281176305037,-0.38395929440258336,11
"Etsy, Inc.",0.02742802215740616,-0.22592891330668904,-0.1296757827271092,2.931907513136605,-0.029690456702971667,-0.05201626351365907,-0.048792491771603816,0.08399742344549609,-0.7318589578563109,0.1058022916721061,-0.03096942317531002,-0.16523807271248564,-0.03070448347303363,0.02039488090435302,0.7759060902675703,-0.04394701742714893,-0.38395929440258336,12
"Guess', Inc.",-0.08844831309167582,-0.16193771073003735,-0.11104152243785638,0.370354763169978,-0.05326109862274645,-0.04906979089280405,-0.04754252345577848,0.06715062737462847,-0.9631554647298104,-0.9040331973113214,-0.05712490839624836,-4.9236183899744175,-0.11204024875887124,-0.06336238125970449,-0.33652087625845195,-0.061902232283436276,0.7045734507927612,19
"Wynn Resorts, Limited",-0.8807691571094047,-0.13878920515237378,-0.11028201143559384,-0.2989296219199243,-0.1087295693377094,-0.0547821091792289,-0.04911191819071285,0.07378550788299452,-1.007232723586836,1.0557830099283194,0.09129121001814708,0.1325241764244135,0.004786754375813778,-0.06336238125970449,-0.06085403832713392,-0.05228654697197001,0.12292865059625376,3
Hanesbrands Inc.,0.002724815502803739,0.08549278392723057,-0.046814622594779205,-0.07052853910744468,-0.06734262061472457,-0.04554246425970723,-0.04713192428860176,0.08326736703205713,0.6018054289463572,0.587205661949557,0.07414113310722623,0.06448084996148927,0.12104976508157272,-0.06336238125970449,-0.2131465339052826,-0.02148074032597616,0.4894195748580029,11
