Ticker,Net cash flow / Change in cash,Average Payables,Average Receivables,currentRatio,SG&A to Revenue,daysOfPayablesOutstanding,daysOfInventoryOutstanding,eBITperRevenue,Intangibles to Total Assets,Debt to Assets,Debt to Equity,Payout Ratio,ROE,R&D to Revenue,PE ratio,returnOnAssets,Dividend Yield,Name
CMCSA,0.4346563393961381,2.43276296463215,0.8584684655960703,-0.721817687369697,0.04968063680387555,-0.05103391025135831,-0.04737144411444854,0.09581847036402405,1.825931281361764,0.28907189918448095,-0.008117754657400004,0.04296287492620555,-0.04258860965397573,-0.06336238125970449,-0.13745526585849133,-0.015649005252818364,0.10651860921139936,Comcast Corporation
SIRI,-0.06575383239684514,0.021660795874709135,-0.11158009294054351,-1.1516269977531812,-0.07721905155998232,-0.04767057420220795,-0.04913028271038737,0.11446368904670012,1.4776772955409108,1.4257424975660524,-0.18127852177704293,-0.06462700025021309,-0.3693013666961466,-0.05223633898589424,-0.00783542855615317,-0.275539611032171,-0.23991559780219437,Sirius XM Holdings Inc.
CZR,-1.5413727363877927,-0.11971005594909549,-0.08699539114783726,-0.4858032351301348,-0.0710774054259565,-0.05481354702800873,-0.04879269797410441,0.09321717405239403,0.10822741144838005,1.1293188711074682,0.13098231254444048,-0.16523807271248564,-0.07102994214124732,-0.06336238125970449,-0.10556178458200298,-0.057895696736992,-0.38395929440258336,"Caesars Entertainment, Inc."
F,-2.506641615853468,7.542923455274889,11.830484319201105,-0.4394308940742678,-0.12040423000689364,-0.04707447833798964,-0.03282645084987936,0.06810071803660744,-1.0805493521807,0.7368425887675925,0.08026662284163626,0.2098725731728658,-0.06736399135322789,-0.06336238125970449,-0.21340994322976228,-0.05078780589718899,1.0455376440114033,Ford Motor Company
NKE,0.581081515515379,0.5077620315073769,0.22236118021797371,0.4644836942684541,-0.052569471805851656,-0.05346834961375961,-0.04785922550245537,0.08269262945098053,-0.9954496939913935,-0.49445555190652724,-0.046045311539079876,0.20638317181579277,-0.029213932053729068,-0.06336238125970449,0.5664956773062257,-0.039480472243890674,-0.19068547364763108,"NIKE, Inc."
BABA,12.623991627607941,-0.24433539852701536,-0.13524046301542306,-1.0628966377029996,-0.09193687022350368,-0.05905976062495496,-0.050051158083818034,0.12063531698817839,0.0733147311655879,-0.4773541888416089,-0.0475046860082922,-0.16523807271248564,-0.03799609987557777,-0.01610269702188433,0.333960619614566,-0.04921486971969605,-0.38395929440258336,Alibaba Group Holding Limited
GM,7.983371729621082,7.79043599060398,5.2661641481928525,-0.6359942501916743,-0.1219258090040622,-0.04551949138810859,-0.0409806225105187,0.07279017719313295,-0.9736292688146483,0.3392358975082414,0.028780797609624608,-0.007633444751353469,-0.025507696092214885,-0.06336238125970449,-0.2472819877276264,-0.04488187572131926,0.4438361265667407,General Motors Company
LOW,-0.0031975853099414802,2.0571487870716414,-0.13524046301542306,-0.5390968211197134,-0.08183911869683959,-0.05048378459558926,-0.050051158083818034,0.0773961262151176,-0.9190782058727851,0.3962404410579691,0.03502925015962238,0.05924674792587973,0.12785795940218023,-0.06336238125970449,0.03489525112122922,-0.035577809841243105,-0.09951857706510642,"Lowe's Companies, Inc."
FOXA,3.4811529648673347,0.41633535062036736,0.04049520165927478,0.9254386068536403,-0.10712499512251349,-0.04358891389000347,-0.04593358782921418,0.09863839704131984,0.7864062259416219,-0.9764289676194755,-0.05861016977400547,-0.16523807271248564,-0.016725528270366143,-0.06336238125970449,-0.17495068521184012,0.004383672479403063,-0.38395929440258336,Fox Corporation
MAT,-0.7349538489567188,-0.0513779979951203,-0.030838974773122096,0.01944764503080475,-0.015498274420290389,-0.04841938216921513,-0.04515063693444146,0.05332518850173509,0.07462395667619247,0.5775148895461035,0.08209164989404369,-0.16523807271248564,-0.4356913326154435,-0.06336238125970449,-0.336520876258452,-0.10601864035595059,-0.38395929440258336,"Mattel, Inc."
